id	unit	kind	pos	cefr	cefr_source	zipf
w:antics|noun	antics	word	noun	C1	cefrj	3.01
w:antidote|noun	antidote	word	noun	C2	cefrj	3.70
w:antipollution|noun	antipollution	word	noun	B2	cefrj	0.00
w:antiquated|adj	antiquated	word	adj	C1	cefrj	2.75
w:antique|adj	antique	word	adj	B2	cefrj	3.73
w:antique|noun	antique	word	noun	B1	cefrj	3.73
w:antiquity|noun	antiquity	word	noun	C1	cefrj	2.89
w:antistatic|adj	antistatic	word	adj	B2	cefrj	0.00
w:antithesis|noun	antithesis	word	noun	C2	cefrj	0.00
w:antithetical|adj	antithetical	word	adj	C2	cefrj	0.00
w:antivirus|noun	antivirus	word	noun	B2	cefrj	0.00
w:antonym|noun	antonym	word	noun	B1	cefrj	0.00
w:anxiety|noun	anxiety	word	noun	B1	cefrj	3.87
w:anxious|adj	anxious	word	adj	A2	cefrj	4.11
w:anxiously|adv	anxiously	word	adv	B1	cefrj	2.93
w:any|det	any	word	det	A1	cefrj	6.02
w:any|pron	any	word	pron	A1	cefrj	6.02
w:anybody|pron	anybody	word	pron	A1	cefrj	5.19
w:anyhow|adv	anyhow	word	adv	B1	cefrj	3.95
w:anymore|adv	anymore	word	adv	A2	cefrj	5.31
w:anyone|pron	anyone	word	pron	A1	cefrj	5.50
w:anything|pron	anything	word	pron	A1	cefrj	5.95
w:anyway|adv	anyway	word	adv	A2	cefrj	5.36
w:anywhere|adv	anywhere	word	adv	A2	cefrj	4.96
w:apart|adv	apart	word	adv	A2	cefrj	4.77
w:apartment|noun	apartment	word	noun	A2	cefrj	4.86
w:ape|noun	ape	word	noun	B1	cefrj	3.72
w:apologise|verb	apologise	word	verb	A2	cefrj	3.97
w:apologize|verb	apologize	word	verb	A2	cefrj	4.69
w:apology|noun	apology	word	noun	B1	cefrj	4.21
w:apostle|noun	apostle	word	noun	C2	cefrj	2.94
w:apostrophe|noun	apostrophe	word	noun	B2	cefrj	2.44
w:appal|verb	appal	word	verb	C1	cefrj	0.00
w:appall|verb	appall	word	verb	C1	cefrj	0.00
w:appalling|adj	appalling	word	adj	C1	cefrj	3.38
w:appallingly|adv	appallingly	word	adv	C1	cefrj	0.00
w:apparent|adj	apparent	word	adj	B1	cefrj	3.65
w:apparently|adv	apparently	word	adv	A2	cefrj	4.73
w:appeal|noun	appeal	word	noun	B1	cefrj	4.12
w:appeal|verb	appeal	word	verb	B2	cefrj	4.12
w:appear|verb	appear	word	verb	A2	cefrj	4.47
w:appearance|noun	appearance	word	noun	A2	cefrj	4.11
